,bill_number,display_name,first_name,id,last_name,party,state
0,0,Adams (D-WA),Brock,S180,Adams,D,WA
1,0,Akaka (D-HI),Daniel,S213,Akaka,D,HI
2,0,Baucus (D-MT),Max,S127,Baucus,D,MT
3,0,Bentsen (D-TX),Lloyd,S009,Bentsen,D,TX
4,0,Biden (D-DE),Joseph,S010,Biden,D,DE
5,0,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
6,0,Boren (D-OK),David,S128,Boren,D,OK
7,0,Bradley (D-NJ),Bill,S132,Bradley,D,NJ
8,0,Bumpers (D-AR),Dale,S014,Bumpers,D,AR
9,0,"Burdick, Quentin S (D-ND)",Quentin,S015,Burdick,D,ND
10,0,Byrd (D-WV),Robert,S017,Byrd,D,WV
11,0,Conrad (D-ND),Kent,S201,Conrad,D,ND
12,0,Daschle (D-SD),Thomas,S185,Daschle,D,SD
13,0,DeConcini (D-AZ),Dennis,S102,DeConcini,D,AZ
14,0,Dixon (D-IL),Alan,S149,Dixon,D,IL
15,0,Dodd (D-CT),Christopher,S150,Dodd,D,CT
16,0,Exon (D-NE),J.,S129,Exon,D,NE
17,0,Ford (D-KY),Wendell,S033,Ford,D,KY
18,0,Fowler (D-GA),Wyche,S183,Fowler,D,GA
19,0,Glenn (D-OH),John,S035,Glenn,D,OH
20,0,Grassley (R-IA),Chuck,S153,Grassley,R,IA
21,0,Harkin (D-IA),Tom,S172,Harkin,D,IA
22,0,Hollings (D-SC),Ernest,S047,Hollings,D,SC
23,0,Inouye (D-HI),Daniel,S051,Inouye,D,HI
24,0,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
25,0,Kerrey (D-NE),J.,S208,Kerrey,D,NE
26,0,Kerry (D-MA),John,S173,Kerry,D,MA
27,0,Kohl (D-WI),Herb,S209,Kohl,D,WI
28,0,Lautenberg (D-NJ),Frank,S166,Lautenberg,D,NJ
29,0,Leahy (D-VT),Patrick,S057,Leahy,D,VT
30,0,Levin (D-MI),Carl,S131,Levin,D,MI
31,0,Metzenbaum (D-OH),Howard,S114,Metzenbaum,D,OH
32,0,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
33,0,Mitchell (D-ME),George,S144,Mitchell,D,ME
34,0,Moynihan (D-NY),Daniel,S113,Moynihan,D,NY
35,0,Nunn (D-GA),Sam,S074,Nunn,D,GA
36,0,Pell (D-RI),Claiborne,S078,Pell,D,RI
37,0,Pryor (D-AR),David,S125,Pryor,D,AR
38,0,Riegle (D-MI),Donald,S107,Riegle,D,MI
39,0,Rockefeller (D-WV),John,S176,Rockefeller,D,WV
40,0,Sanford (D-NC),Terry,S178,Sanford,D,NC
41,0,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
42,0,Sasser (D-TN),Jim,S117,Sasser,D,TN
43,0,Simon (D-IL),Paul,S175,Simon,D,IL
44,0,Wellstone (D-MN),Paul,S217,Wellstone,D,MN
45,0,Wirth (D-CO),Timothy,S181,Wirth,D,CO
46,1,Bond (R-MO),Christopher,S200,Bond,R,MO
47,1,Breaux (D-LA),John,S179,Breaux,D,LA
48,1,Brown (R-CO),Hank,S214,Brown,R,CO
49,1,Bryan (D-NV),Richard,S206,Bryan,D,NV
50,1,Burns (R-MT),Conrad,S211,Burns,R,MT
51,1,Chafee (R-RI),John,S116,Chafee,R,RI
52,1,Coats (R-IN),Dan,S212,Coats,R,IN
53,1,Cochran (R-MS),Thad,S136,Cochran,R,MS
54,1,Cohen (R-ME),William,S137,Cohen,R,ME
55,1,Craig (R-ID),Larry,S215,Craig,R,ID
56,1,D'Amato (R-NY),Alfonse,S147,D'Amato,R,NY
57,1,Danforth (R-MO),John,S108,Danforth,R,MO
58,1,Dole (R-KS),Bob,S026,Dole,R,KS
59,1,Domenici (R-NM),Pete,S027,Domenici,R,NM
60,1,Durenberger (R-MN),Dave,S133,Durenberger,R,MN
61,1,Garn (R-UT),Jake,S034,Garn,R,UT
62,1,Gore (D-TN),Albert,S170,Gore,D,TN
63,1,Gorton (R-WA),Slade,S152,Gorton,R,WA
64,1,Graham (D-FL),Bob,S199,Graham,D,FL
65,1,Gramm (R-TX),Phil,S171,Gramm,R,TX
66,1,Hatch (R-UT),Orrin,S118,Hatch,R,UT
67,1,Heflin (D-AL),Howell,S130,Heflin,D,AL
68,1,Heinz (R-PA),John,S115,Heinz,R,PA
69,1,Helms (R-NC),Jesse,S046,Helms,R,NC
70,1,Jeffords (R-VT),James,S204,Jeffords,R,VT
71,1,Johnston (D-LA),J.,S054,Johnston,D,LA
72,1,Kassebaum (R-KS),Nancy,S140,Kassebaum,R,KS
73,1,Kasten (R-WI),Robert,S155,Kasten,R,WI
74,1,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
75,1,Lott (R-MS),Trent,S203,Lott,R,MS
76,1,Lugar (R-IN),Richard,S105,Lugar,R,IN
77,1,Mack (R-FL),Connie,S205,Mack,R,FL
78,1,McCain (R-AZ),John,S197,McCain,R,AZ
79,1,McConnell (R-KY),Mitch,S174,McConnell,R,KY
80,1,Murkowski (R-AK),Frank,S157,Murkowski,R,AK
81,1,Nickles (R-OK),Don,S158,Nickles,R,OK
82,1,Packwood (R-OR),Bob,S075,Packwood,R,OR
83,1,Pressler (R-SD),Larry,S141,Pressler,R,SD
84,1,Reid (D-NV),Harry,S198,Reid,D,NV
85,1,Robb (D-VA),Charles,S207,Robb,D,VA
86,1,Roth (R-DE),William,S083,Roth,R,DE
87,1,Rudman (R-NH),Warren,S160,Rudman,R,NH
88,1,Seymour (R-CA),John,S218,Seymour,R,CA
89,1,Shelby (D-AL),Richard,S184,Shelby,D,AL
90,1,Simpson (R-WY),Alan,S142,Simpson,R,WY
91,1,Smith (R-NH),Bob,S216,Smith,R,NH
92,1,Specter (R-PA),Arlen,S161,Specter,R,PA
93,1,Stevens (R-AK),Ted,S090,Stevens,R,AK
94,1,Symms (R-ID),Steve,S162,Symms,R,ID
95,1,Thurmond (R-SC),Strom,S096,Thurmond,R,SC
96,1,Wallop (R-WY),Malcolm,S119,Wallop,R,WY
97,1,Warner (R-VA),John,S143,Warner,R,VA
98,2,Adams (D-WA),Brock,S180,Adams,D,WA
99,2,Akaka (D-HI),Daniel,S213,Akaka,D,HI
100,2,Baucus (D-MT),Max,S127,Baucus,D,MT
101,2,Bentsen (D-TX),Lloyd,S009,Bentsen,D,TX
102,2,Biden (D-DE),Joseph,S010,Biden,D,DE
103,2,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
104,2,Bond (R-MO),Christopher,S200,Bond,R,MO
105,2,Boren (D-OK),David,S128,Boren,D,OK
106,2,Bradley (D-NJ),Bill,S132,Bradley,D,NJ
107,2,Breaux (D-LA),John,S179,Breaux,D,LA
108,2,Brown (R-CO),Hank,S214,Brown,R,CO
109,2,Bryan (D-NV),Richard,S206,Bryan,D,NV
110,2,Bumpers (D-AR),Dale,S014,Bumpers,D,AR
111,2,"Burdick, Quentin S (D-ND)",Quentin,S015,Burdick,D,ND
112,2,Burns (R-MT),Conrad,S211,Burns,R,MT
113,2,Byrd (D-WV),Robert,S017,Byrd,D,WV
114,2,Chafee (R-RI),John,S116,Chafee,R,RI
115,2,Coats (R-IN),Dan,S212,Coats,R,IN
116,2,Cochran (R-MS),Thad,S136,Cochran,R,MS
117,2,Cohen (R-ME),William,S137,Cohen,R,ME
118,2,Conrad (D-ND),Kent,S201,Conrad,D,ND
119,2,Craig (R-ID),Larry,S215,Craig,R,ID
120,2,D'Amato (R-NY),Alfonse,S147,D'Amato,R,NY
121,2,Danforth (R-MO),John,S108,Danforth,R,MO
122,2,Daschle (D-SD),Thomas,S185,Daschle,D,SD
123,2,DeConcini (D-AZ),Dennis,S102,DeConcini,D,AZ
124,2,Dixon (D-IL),Alan,S149,Dixon,D,IL
125,2,Dodd (D-CT),Christopher,S150,Dodd,D,CT
126,2,Dole (R-KS),Bob,S026,Dole,R,KS
127,2,Domenici (R-NM),Pete,S027,Domenici,R,NM
128,2,Durenberger (R-MN),Dave,S133,Durenberger,R,MN
129,2,Exon (D-NE),J.,S129,Exon,D,NE
130,2,Ford (D-KY),Wendell,S033,Ford,D,KY
131,2,Fowler (D-GA),Wyche,S183,Fowler,D,GA
132,2,Garn (R-UT),Jake,S034,Garn,R,UT
133,2,Gore (D-TN),Albert,S170,Gore,D,TN
134,2,Gorton (R-WA),Slade,S152,Gorton,R,WA
135,2,Graham (D-FL),Bob,S199,Graham,D,FL
136,2,Gramm (R-TX),Phil,S171,Gramm,R,TX
137,2,Grassley (R-IA),Chuck,S153,Grassley,R,IA
138,2,Harkin (D-IA),Tom,S172,Harkin,D,IA
139,2,Hatch (R-UT),Orrin,S118,Hatch,R,UT
140,2,Hatfield (R-OR),Mark,S044,Hatfield,R,OR
